id	front	back	tags
ik	ik	I	introduction
ik-heet	ik heet	my name is	introduction
ik-ben	ik ben	I am	introduction
een	een	a	introduction
de	de	the	introduction
het	het	the	introduction
de-man	de man	the man	introduction
de-vrouw	de vrouw	the woman	introduction
de-jongen	de jongen	the boy	introduction
het-meisje	het meisje	the girl	introduction
het-huis	het huis	the house	introduction
hallo	hallo	hello	introduction
hoi	hoi	hi	introduction
goed	goed	good	introduction
slecht	slecht	bad	introduction
morgen	morgen	morning	introduction
morgen-2	morgen	tomorrow	introduction
goedemorgen	goedemorgen	good morning	introduction
avond	avond	evening	introduction
goedenavond	goedenavond	good evening	introduction
dag	dag	day	introduction
goedendag	goedendag	good day !	introduction
tot-ziens	tot ziens	see you	introduction
tot	tot	until	introduction
doei	doei	bye	introduction
alsjeblieft-a-u-b	alsjeblieft (a.u.b.)	here you are / please	thank
alstublieft	alstublieft	here you are (formal)	thank
dank-je-wel	dank je wel	thank you	thank
ja	ja	yes	l1
nee	nee	no	l1
niet	niet	not	l1
roken	roken	to smoke	l1
wel	wel	(confirmative)	l1
misschien	misschien	maybe	l1
links	links	left	l1
rechts	rechts	right	l1
of	of	or	l1
en	en	and	l1
jij	jij	you	pronouns
je	je	you	pronouns
hij	hij	he	pronouns
zij	zij	she	pronouns
ze	ze	she	pronouns
wij	wij	we	pronouns
we	we	we	pronouns
jullie	jullie	you	pronouns
zij-2	zij	they	pronouns
ze-2	ze	they	pronouns
u	u	you	pronouns
zijn	zijn	to be	lesson3
de-leraar	de leraar	the teacher	lesson3
blij	blij	happy	lesson3
leuk	leuk	funny	lesson3
mooi	mooi	pretty	lesson3
oud	oud	old	lesson3
jong	jong	young	lesson3
de-voetballer	de voetballer	the football player	lesson3
de-premier	de premier	the prime minister	lesson3
de-student	de student	the student	lesson3
de-leerling	de leerling	the pupil	lesson3
de-koning	de koning	the king	lesson3
de-baas	de baas	the boss	lesson3
de-bakker	de bakker	the baker	lesson3
de-slager	de slager	the butcher	lesson3
de-boer	de boer	the farmer	lesson3
de-visser	de visser	the fisherman	lesson3
de-advocaat	de advocaat	the lawyer	lesson3
de-dokter	de dokter	the doctor	lesson3
de-ober	de ober	the waiter	lesson3
de-politieman	de politieman	the police officer	lesson3
de-agent	de agent	the police officer	lesson3
de-kapper	de kapper	the hairdresser	lesson3
de-directeur	de directeur	the (company) director	lesson3
de-boekhouder	de boekhouder	the accountant	lesson3
de-verkoper	de verkoper	the salesman	lesson3
de-vertegenwoordiger	de vertegenwoordiger	the representative	lesson3
eten-drinken	eten & drinken	food & drinks	food
de-groente	de groente	the vegetables	food
het-fruit	het fruit	the fruits	food
het-brood	het brood	the bread	food
de-boterham	de boterham	the slice of bread	food
de-kaas	de kaas	the cheese	food
de-hagelslag	de hagelslag	the chocolate sprinkles	food
de-pindakaas	de pindakaas	the peanut butter	food
de-melk	de melk	the milk	food
de-koffie	de koffie	the coffee	food
de-thee	de thee	the tea	food
de-aardappel	de aardappel	the potato	food
de-aardappeleter	de aardappeleter	the potato-eater	food
het-bier	het bier	the beer	food
de-wijn	de wijn	the wine	food
het-water	het water	the water	food
het-vlees	het vlees	the meat	food
de-kip	de kip	the chicken	food
de-friet	de friet	the French fries	food
frietje-met	frietje met	French fries with mayonnaise	food
de-frikandel	de frikandel	Dutch meat sausage	food
de-kroket	de kroket	Dutch fried ragout bar	food
de-pannenkoek	de pannenkoek	the pancake	food
de-stroopwafel	de stroopwafel	the syrup waffle	food
drop	drop	liquorice	food
de-het-snoep	de, het snoep	the sweets	food
wie	wie	who	question
wat	wat	what	question
dat	dat	that	demonstrative
dit	dit	this	demonstrative
welke	welke	which	question
deze	deze	these, this	demonstrative
die	die	that, those	demonstrative
waar	waar	where	question
hier	hier	here	location
daar	daar	there	location
wanneer	wanneer	when	question
dan	dan	then	time
toen	toen	at that time (past)	time
terwijl	terwijl	while	time
hoe	hoe	how	question
zo	zo	like this	manner
hoeveel	hoeveel	how much	question
de-bloem	de bloem	the flower	nature
waarom	waarom	why	question
daarom	daarom	that’s why	reason
want	want	because	reason
omdat	omdat	because	reason
maar	maar	but	conjunction
behalve	behalve	except	conjunction
de-fiets	de fiets	the bike	transport
